:START_ID(User),rating:int,:END_ID(Movie)
1,5,1
1,3,2
1,4,3
1,3,4
1,3,5
1,4,7
1,1,8
1,5,9
1,2,11
1,5,13
1,5,15
1,5,16
1,4,18
1,5,19
1,1,21
1,4,22
1,4,25
1,3,26
1,4,28
1,1,29
1,3,30
1,5,32
1,2,34
1,1,35
1,2,37
1,3,38
1,3,40
1,2,41
1,5,42
1,4,43
1,5,45
1,4,46
1,5,48
1,5,50
1,4,52
1,5,55
1,5,57
1,4,58
1,5,59
1,2,63
1,4,66
1,4,68
1,3,71
1,4,75
1,4,77
1,4,79
1,3,83
1,5,87
1,4,88
1,5,89
1,5,93
1,2,94
1,4,95
1,3,99
1,2,101
1,2,105
1,4,106
1,5,109
1,1,110
1,5,111
1,5,115
1,3,116
1,5,119
1,3,122
1,4,123
1,5,124
1,2,126
1,5,127
1,1,131
1,4,133
1,4,135
1,3,136
1,5,137
1,1,138
1,3,139
1,3,141
1,2,142
1,4,144
1,4,146
1,3,147
1,2,149
1,5,152
1,3,153
1,4,156
1,3,158
1,4,162
1,5,165
1,5,166
1,2,167
1,5,168
1,5,169
1,5,172
1,5,173
1,5,176
1,5,178
1,3,179
1,5,181
1,4,182
1,4,187
1,5,191
1,4,192
1,4,194
1,5,195
1,5,197
1,5,198
1,4,199
1,4,203
1,5,204
1,3,205
1,5,207
1,3,211
1,5,216
1,3,217
1,3,220
1,5,223
1,1,231
1,4,234
1,2,237
1,4,238
1,4,239
1,3,240
1,2,244
1,2,245
1,5,246
1,1,247
1,4,249
1,4,251
1,4,256
1,4,257
1,1,261
1,1,263
1,5,268
1,5,269
1,5,270
1,2,271
2,4,1
2,2,10
2,4,14
2,4,25
2,5,100
2,4,111
2,5,127
2,4,237
2,5,242
2,4,255
2,3,258
2,4,269
2,5,272
2,4,273
2,3,274
2,5,275
2,4,276
2,4,277
2,3,278
2,4,282
2,5,283
2,4,284
2,5,285
2,4,286
2,3,287
2,3,288
2,3,289
2,3,291
2,4,293
2,1,294
2,4,295
2,3,296
2,4,300
2,5,302
2,4,304
2,3,305
2,4,306
2,1,309
2,4,310
2,5,311
3,4,181
3,2,258
3,4,260
3,3,268
3,3,271
3,2,288
3,2,302
3,3,303
3,2,317
3,2,319
3,5,320
3,5,321
3,3,322
3,1,325
3,2,326
3,4,329
3,2,333
3,1,336
3,2,338
3,3,339
3,5,340
3,4,342
3,4,344
3,5,346
3,5,347
3,2,352
3,1,353
3,3,355
4,4,11
4,3,210
4,5,258
4,4,271
4,5,300
4,5,301
4,5,324
4,5,327
4,3,328
4,5,329
4,2,358
4,5,359
4,5,360
4,5,362
5,3,21
5,3,25
5,4,29
5,4,50
5,1,63
5,1,66
5,4,70
5,4,95
5,3,99
5,5,101
5,3,105
5,4,121
5,4,135
5,1,145
5,3,151
5,1,162
5,5,163
5,3,168
5,5,169
5,5,172
5,5,174
5,5,181
5,4,183
5,5,186
5,5,189
5,4,194
5,2,200
5,4,204
5,4,208
5,3,210
5,1,216
5,3,226
5,5,228
5,2,229
5,4,233
5,4,235
5,4,239
5,3,250
5,5,257
5,1,365
5,3,366
5,3,367
5,1,368
5,1,371
5,3,373
5,3,374
5,3,375
5,1,378
5,3,380
5,1,381
5,3,383
5,2,386
5,3,387
5,5,390
5,2,392
5,2,395
5,5,396
5,2,398
5,3,399
5,5,401
5,2,404
5,3,405
5,1,406
5,5,408
5,2,409
5,3,412
5,3,414
5,1,415
5,1,416
5,3,419
5,3,420
5,2,425
5,3,427
5,5,430
5,3,431
5,4,432
5,5,434
5,1,437
5,1,438
5,1,440
5,1,442
5,4,443
5,4,446
5,3,447
5,2,448
5,2,449
5,1,450
5,1,451
5,1,452
5,4,455
5,1,456
6,4,1
6,2,7
6,4,8
6,4,9
6,4,12
6,2,13
6,3,21
6,3,22
6,3,47
6,4,50
6,4,64
6,4,71
6,3,79
6,4,89
6,2,111
6,5,127
6,5,132
6,5,137
6,4,153
6,5,165
6,4,166
6,4,168
6,4,169
6,4,170
6,5,173
6,4,174
6,4,177
6,4,178
6,4,182
6,5,185
6,4,186
6,4,191
6,4,192
6,4,194
6,3,200
6,3,202
6,3,203
6,5,216
6,4,223
6,2,237
6,4,242
6,3,246
6,2,257
6,1,259
6,3,261
6,3,268
6,4,272
6,4,274
6,3,285
6,3,293
6,3,298
6,4,302
6,3,303
6,4,306
6,3,308
6,2,309
6,2,310
6,3,317
6,3,321
6,2,340
6,2,367
6,1,405
6,4,408
6,4,410
6,4,419
6,3,425
6,4,427
6,4,435
6,2,460
6,4,461
6,5,462
6,2,464
6,1,465
6,3,468
6,1,472
6,2,473
6,5,474
6,4,482
6,5,485
6,5,489
6,5,490
6,4,491
6,5,493
6,4,494
6,4,495
6,4,496
6,4,497
6,5,501
6,4,502
6,3,503
6,3,504
6,4,505
6,4,507
6,4,510
6,4,512
6,5,514
6,4,516
6,5,519
6,4,520
6,5,522
6,4,527
6,4,529
6,4,530
6,4,531
6,4,533
6,2,535
6,4,536
6,4,537
6,2,538
6,2,539
7,5,4
7,5,9
7,3,11
7,5,12
7,3,23
7,3,25
7,4,27
7,3,29
7,4,31
7,5,39
7,5,47
7,5,50
7,2,51
7,4,52
7,5,56
7,3,62
7,5,64
7,4,68
7,5,69
7,1,70
7,5,71
7,3,73
7,5,77
7,4,80
7,4,86
7,3,91
7,5,96
7,5,97
7,4,98
7,5,99
7,5,100
7,4,125
7,5,132
7,4,134
7,5,135
7,5,140
7,5,141
7,3,143
7,5,144
7,1,145
7,4,152
7,5,157
7,5,164
7,5,173
7,5,175
7,4,178
7,5,179
7,5,180
7,4,186
7,4,187
7,4,192
7,5,194
7,4,197
7,3,198
7,5,199
7,2,201
7,3,202
7,5,204
7,5,211
7,3,213
7,5,214
7,4,215
7,4,216
7,4,217
7,1,219
7,3,229
7,3,230
7,3,231
7,5,234
7,5,237
7,5,238
7,4,258
7,5,265
7,4,275
7,4,286
7,1,294
7,3,309
7,4,317
7,5,318
7,1,324
7,3,341
7,4,356
7,5,357
7,4,365
7,5,367
7,4,379
7,4,380
7,3,384
7,4,386
7,3,387
7,3,391
7,5,402
7,4,403
7,3,405
7,2,415
7,5,416
7,3,417
7,3,419
7,3,421
7,5,427
7,5,429
7,5,433
7,4,434
7,5,436
7,1,440
7,2,441
7,5,443
7,5,444
7,2,446
7,5,447
7,3,449
7,5,452
7,4,463
7,4,465
7,3,470
7,5,474
7,3,487
7,4,488
7,4,499
7,5,502
7,4,503
7,5,506
7,5,507
7,5,509
7,5,510
7,4,513
7,5,521
7,4,523
7,5,527
7,2,529
7,3,540
7,3,544
7,2,545
7,4,546
7,3,547
7,4,549
7,1,551
7,4,552
7,3,556
7,4,557
7,4,558
7,4,561
7,4,565
7,4,566
7,5,568
7,4,569
7,3,571
7,3,572
7,5,573
7,5,574
7,3,575
7,2,577
7,3,578
7,2,583
7,4,584
7,4,585
7,3,586
7,4,588
7,2,590
7,3,591
7,5,592
7,5,593
7,3,594
7,2,595
7,5,596
7,3,597
7,3,598
7,4,600
7,5,601
7,3,602
7,4,603
7,4,605
7,3,606
7,3,607
7,3,609
7,5,610
7,3,611
7,5,612
7,4,613
7,4,615
7,4,616
7,5,617
7,4,620
7,3,625
7,3,628
7,3,629
7,4,631
7,5,632
7,5,634
7,3,635
7,4,638
7,5,639
7,3,640
7,5,641
7,5,646
7,5,649
7,5,651
7,3,652
7,5,655
7,3,656
7,5,660
7,5,663
7,3,664
7,4,665
7,4,666
7,4,668
7,5,670
7,5,671
7,1,672
7,3,677
7,3,678
7,5,679
7,2,682
8,3,11
8,5,55
8,5,82
8,3,96
8,5,174
8,4,177
8,4,181
8,4,187
8,5,195
8,5,222
8,4,227
8,5,228
8,5,229
8,4,233
8,4,241
8,2,243
8,1,259
8,3,260
8,3,273
8,3,336
8,2,341
8,2,358
8,4,403
8,2,431
8,5,435
8,4,510
